country_name,operational_cycle,sector_name,total_orders,total_impersonated,pct_impersonated,pct_autonomia
ARGENTINA,202605,ARROYO - 1509,264,11,4.166666666666666,95.83333333333333
ARGENTINA,202605,CEDRO - 1394,336,14,4.166666666666666,95.83333333333333
ARGENTINA,202605,NEREA - 703,507,21,4.142011834319527,95.85798816568047
ARGENTINA,202605,IRIS - 1385,509,21,4.12573673870334,95.87426326129666
ARGENTINA,202605,AMANCAY - 964,146,6,4.10958904109589,95.89041095890411
ARGENTINA,202605,KILLARI - 1343,467,19,4.068522483940043,95.93147751605996
ARGENTINA,202605,LOROHUASI - 467,247,10,4.048582995951417,95.95141700404858
ARGENTINA,202605,NOGAL - 1517,475,19,4,96
ARGENTINA,202605,CHAKRAS - 1389,376,15,3.9893617021276597,96.01063829787233
ARGENTINA,202605,KAYA - 1465,101,4,3.9603960396039604,96.03960396039604
ARGENTINA,202605,ITAPARICA - 404,381,15,3.937007874015748,96.06299212598425
